"","X","WID","n_reg","n_dam","n_basin","res_vol","iw_vol","DOF","DOR","USE","SED","RDD","URB","uparea","order","b","pval","fdi_mean","group"
"86",9026,28046880,50,1,239,700,700,5.89418868056866,2.10084033613445,11.56932771832,4.27132056770965,0.482563025685919,0,12133.9772048005,4,-0.001003746,0.00249302753224377,0.125737751583516,"(-0.1,0]"
"87",9027,28048224,56,1,1099,0,0,0.159998609553307,0.163084453377035,5.3774222978876,0.322277590030348,0.613367457262886,1.58961979087299,57193.6270560018,6,-0.004142186,0.000000290887391374113,1.95745824996723,"(-0.1,0]"
"88",9086,21003369,214,25,1549,1568.2,25,3.86542204869785,2.58562132316509,0.873629914400925,4.65270214901156,3.07619664596597,6.75590895859946,73136.8861572702,6,-0.002414165,0.0000195964637929961,0.788991955146743,"(-0.1,0]"
"89",9405,21009422,93,6,405,816,168,12.9091538286503,4.51611185817071,2.26543209819514,8.72173471207532,3.42893827160199,6.16414592405896,16800.0392646548,5,0.0006238628,0.0138605370137844,0.658839887330892,"(0,0.1]"
"90",9614,21013677,499,59,1883,6451.9,2743.4,18.1040588906801,8.7826567842678,2.10807223337892,10.6557955757355,2.2304174168252,0.932119254911129,84878.3547738647,6,0.001797455,0.0352851323530067,0.789450146990509,"(0,0.1]"
"91",9615,21013682,323,30,1182,3198.5,765.5,11.515353430986,14.0128344234588,2.13760539332113,9.17234862909443,1.94929932214282,1.55203118469899,50918.544301148,6,0.002338016,0.00000324176997705588,1.49892739666229,"(0,0.1]"
"92",9616,21013683,107,6,394,167.1,75.4,18.1867275274344,5.29644900212433,1.62893400577649,10.0703107698681,2.6013375597103,2.23709835785295,16799.4034533133,5,0.001356578,0.000333844169100078,0.639594080459001,"(0,0.1]"
"93",9735,21014751,96,10,536,232.9,0,8.42053350016697,3.04520688383882,2.49720149793064,6.56648028141019,1.01589738590115,1.58271247295857,23773.3531015778,5,0.001297339,0.00637780514515526,1.20885001505116,"(0,0.1]"
"94",10010,21017513,93,6,461,1648.6,1452.4,13.2946023392832,8.54148906430557,11.463557563609,7.81365925381373,1.64701301594812,0.44361388192001,21352.0904425135,5,0.005795739,0.0150485434544013,1.14278139961598,"(0,0.1]"
"95",10107,21018344,80,4,393,1320,1320,10.4338990816937,8.18179568451173,7.76539440104221,7.57492167910549,1.2162544515183,1.39134582824076,16542.6341725769,5,0.002344021,0.0048528248119314,1.15530172134301,"(0,0.1]"
