"","year","spsum","order","slope","slope_perc","significance","unct","x","ymax","ymin","font_face"
"136",2014,287267.237413921,"Stream Order = 5","-421","-0.15",0.0207439174201465,"0.048",2007,302188.735359928,268948.355368909,"bold"
"137",2015,279499.054032517,"Stream Order = 5","-421","-0.15",0.0207439174201465,"0.048",2007,302188.735359928,268948.355368909,"bold"
"138",2016,281912.195187745,"Stream Order = 5","-421","-0.15",0.0207439174201465,"0.048",2007,302188.735359928,268948.355368909,"bold"
"139",2017,295598.552327061,"Stream Order = 5","-421","-0.15",0.0207439174201465,"0.048",2007,302188.735359928,268948.355368909,"bold"
"140",2018,286940.261106248,"Stream Order = 5","-421","-0.15",0.0207439174201465,"0.048",2007,302188.735359928,268948.355368909,"bold"
"141",1984,151952.502669109,"Stream Order = 4","-77","-0.053",0.744320134380572,"0.05",2007,153136.137884502,138413.973471671,"plain"
"142",1985,147353.568172469,"Stream Order = 4","-77","-0.053",0.744320134380572,"0.05",2007,153136.137884502,138413.973471671,"plain"
"143",1986,147444.516381187,"Stream Order = 4","-77","-0.053",0.744320134380572,"0.05",2007,153136.137884502,138413.973471671,"plain"
"144",1987,142894.208617832,"Stream Order = 4","-77","-0.053",0.744320134380572,"0.05",2007,153136.137884502,138413.973471671,"plain"
"145",1988,151724.145263286,"Stream Order = 4","-77","-0.053",0.744320134380572,"0.05",2007,153136.137884502,138413.973471671,"plain"
"146",1989,150392.440601173,"Stream Order = 4","-77","-0.053",0.744320134380572,"0.05",2007,153136.137884502,138413.973471671,"plain"
"147",1990,149961.908011906,"Stream Order = 4","-77","-0.053",0.744320134380572,"0.05",2007,153136.137884502,138413.973471671,"plain"
"148",1991,149112.903191702,"Stream Order = 4","-77","-0.053",0.744320134380572,"0.05",2007,153136.137884502,138413.973471671,"plain"
"149",1992,138413.973471671,"Stream Order = 4","-77","-0.053",0.744320134380572,"0.05",2007,153136.137884502,138413.973471671,"plain"
"150",1993,149468.379139648,"Stream Order = 4","-77","-0.053",0.744320134380572,"0.05",2007,153136.137884502,138413.973471671,"plain"
"151",1994,148744.236236681,"Stream Order = 4","-77","-0.053",0.744320134380572,"0.05",2007,153136.137884502,138413.973471671,"plain"
"152",1995,149571.585061332,"Stream Order = 4","-77","-0.053",0.744320134380572,"0.05",2007,153136.137884502,138413.973471671,"plain"
"153",1996,151198.995124291,"Stream Order = 4","-77","-0.053",0.744320134380572,"0.05",2007,153136.137884502,138413.973471671,"plain"
"154",1997,142431.599606657,"Stream Order = 4","-77","-0.053",0.744320134380572,"0.05",2007,153136.137884502,138413.973471671,"plain"
"155",1998,153136.137884502,"Stream Order = 4","-77","-0.053",0.744320134380572,"0.05",2007,153136.137884502,138413.973471671,"plain"
"156",1999,149560.578637132,"Stream Order = 4","-77","-0.053",0.744320134380572,"0.05",2007,153136.137884502,138413.973471671,"plain"
"157",2000,147663.76822531,"Stream Order = 4","-77","-0.053",0.744320134380572,"0.05",2007,153136.137884502,138413.973471671,"plain"
"158",2001,141451.224150859,"Stream Order = 4","-77","-0.053",0.744320134380572,"0.05",2007,153136.137884502,138413.973471671,"plain"
"159",2002,142100.926849407,"Stream Order = 4","-77","-0.053",0.744320134380572,"0.05",2007,153136.137884502,138413.973471671,"plain"
"160",2003,139626.521291296,"Stream Order = 4","-77","-0.053",0.744320134380572,"0.05",2007,153136.137884502,138413.973471671,"plain"
"161",2004,138492.469170321,"Stream Order = 4","-77","-0.053",0.744320134380572,"0.05",2007,153136.137884502,138413.973471671,"plain"
"162",2005,139061.487355823,"Stream Order = 4","-77","-0.053",0.744320134380572,"0.05",2007,153136.137884502,138413.973471671,"plain"
"163",2006,140235.03475582,"Stream Order = 4","-77","-0.053",0.744320134380572,"0.05",2007,153136.137884502,138413.973471671,"plain"
"164",2007,145305.769321318,"Stream Order = 4","-77","-0.053",0.744320134380572,"0.05",2007,153136.137884502,138413.973471671,"plain"
"165",2008,146256.648768558,"Stream Order = 4","-77","-0.053",0.744320134380572,"0.05",2007,153136.137884502,138413.973471671,"plain"
"166",2009,141366.870479282,"Stream Order = 4","-77","-0.053",0.744320134380572,"0.05",2007,153136.137884502,138413.973471671,"plain"
"167",2010,149619.269845997,"Stream Order = 4","-77","-0.053",0.744320134380572,"0.05",2007,153136.137884502,138413.973471671,"plain"
"168",2011,148849.924455488,"Stream Order = 4","-77","-0.053",0.744320134380572,"0.05",2007,153136.137884502,138413.973471671,"plain"
"169",2012,143064.146259255,"Stream Order = 4","-77","-0.053",0.744320134380572,"0.05",2007,153136.137884502,138413.973471671,"plain"
"170",2013,148045.82546366,"Stream Order = 4","-77","-0.053",0.744320134380572,"0.05",2007,153136.137884502,138413.973471671,"plain"
"171",2014,143269.422723907,"Stream Order = 4","-77","-0.053",0.744320134380572,"0.05",2007,153136.137884502,138413.973471671,"plain"
"172",2015,144077.622799079,"Stream Order = 4","-77","-0.053",0.744320134380572,"0.05",2007,153136.137884502,138413.973471671,"plain"
"173",2016,148883.704108147,"Stream Order = 4","-77","-0.053",0.744320134380572,"0.05",2007,153136.137884502,138413.973471671,"plain"
"174",2017,152193.239637242,"Stream Order = 4","-77","-0.053",0.744320134380572,"0.05",2007,153136.137884502,138413.973471671,"plain"
"175",2018,150246.13098272,"Stream Order = 4","-77","-0.053",0.744320134380572,"0.05",2007,153136.137884502,138413.973471671,"plain"
"176",1984,107713.619191434,"Stream Order = 3","-31","-0.03",0.835586434112585,"0.052",1995,108334.077016598,97672.1768180401,"plain"
"177",1985,103938.139420224,"Stream Order = 3","-31","-0.03",0.835586434112585,"0.052",1995,108334.077016598,97672.1768180401,"plain"
"178",1986,103427.174421942,"Stream Order = 3","-31","-0.03",0.835586434112585,"0.052",1995,108334.077016598,97672.1768180401,"plain"
"179",1987,101784.450417376,"Stream Order = 3","-31","-0.03",0.835586434112585,"0.052",1995,108334.077016598,97672.1768180401,"plain"
"180",1988,107758.069948055,"Stream Order = 3","-31","-0.03",0.835586434112585,"0.052",1995,108334.077016598,97672.1768180401,"plain"
"181",1989,105185.314326134,"Stream Order = 3","-31","-0.03",0.835586434112585,"0.052",1995,108334.077016598,97672.1768180401,"plain"
"182",1990,105194.937166883,"Stream Order = 3","-31","-0.03",0.835586434112585,"0.052",1995,108334.077016598,97672.1768180401,"plain"
"183",1991,104241.67668651,"Stream Order = 3","-31","-0.03",0.835586434112585,"0.052",1995,108334.077016598,97672.1768180401,"plain"
"184",1992,97779.1915158304,"Stream Order = 3","-31","-0.03",0.835586434112585,"0.052",1995,108334.077016598,97672.1768180401,"plain"
"185",1993,105149.064935417,"Stream Order = 3","-31","-0.03",0.835586434112585,"0.052",1995,108334.077016598,97672.1768180401,"plain"
"186",1994,103341.00868957,"Stream Order = 3","-31","-0.03",0.835586434112585,"0.052",1995,108334.077016598,97672.1768180401,"plain"
"187",1995,105581.457046618,"Stream Order = 3","-31","-0.03",0.835586434112585,"0.052",1995,108334.077016598,97672.1768180401,"plain"
"188",1996,106013.138553228,"Stream Order = 3","-31","-0.03",0.835586434112585,"0.052",1995,108334.077016598,97672.1768180401,"plain"
"189",1997,99570.0446992727,"Stream Order = 3","-31","-0.03",0.835586434112585,"0.052",1995,108334.077016598,97672.1768180401,"plain"
"190",1998,108334.077016598,"Stream Order = 3","-31","-0.03",0.835586434112585,"0.052",1995,108334.077016598,97672.1768180401,"plain"
"191",1999,105485.628044649,"Stream Order = 3","-31","-0.03",0.835586434112585,"0.052",1995,108334.077016598,97672.1768180401,"plain"
"192",2000,104113.53909246,"Stream Order = 3","-31","-0.03",0.835586434112585,"0.052",1995,108334.077016598,97672.1768180401,"plain"
"193",2001,99778.8062254551,"Stream Order = 3","-31","-0.03",0.835586434112585,"0.052",1995,108334.077016598,97672.1768180401,"plain"
"194",2002,99552.9028104757,"Stream Order = 3","-31","-0.03",0.835586434112585,"0.052",1995,108334.077016598,97672.1768180401,"plain"
"195",2003,98671.8611699668,"Stream Order = 3","-31","-0.03",0.835586434112585,"0.052",1995,108334.077016598,97672.1768180401,"plain"
"196",2004,97672.1768180401,"Stream Order = 3","-31","-0.03",0.835586434112585,"0.052",1995,108334.077016598,97672.1768180401,"plain"
"197",2005,98541.4296167819,"Stream Order = 3","-31","-0.03",0.835586434112585,"0.052",1995,108334.077016598,97672.1768180401,"plain"
"198",2006,100046.071310787,"Stream Order = 3","-31","-0.03",0.835586434112585,"0.052",1995,108334.077016598,97672.1768180401,"plain"
"199",2007,101642.185922491,"Stream Order = 3","-31","-0.03",0.835586434112585,"0.052",1995,108334.077016598,97672.1768180401,"plain"
"200",2008,103158.330298253,"Stream Order = 3","-31","-0.03",0.835586434112585,"0.052",1995,108334.077016598,97672.1768180401,"plain"
"201",2009,99419.117480597,"Stream Order = 3","-31","-0.03",0.835586434112585,"0.052",1995,108334.077016598,97672.1768180401,"plain"
